t,u1,u2,u3,f1,f2
1.4371457,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4404801,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4438145,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.447149,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4504834,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4538178,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4571524,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4604868,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4638212,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4671557,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4704901,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4738246,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.477159,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4804934,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.483828,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4871624,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4904968,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4938313,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.4971657,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5005001,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5038346,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.507169,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5105034,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5138379,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5171723,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5205067,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5238413,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5271757,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5305101,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5338446,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.537179,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5405135,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5438479,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5471823,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5505168,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5538512,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5571856,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5605202,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.5638546,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
1.567189,0.8615448,0.04144025,0.0012976527,-0.024219617,-5.5134296e-06
